
1	2	100%	1000	1000	0	0	0	0	0	0%
2	3	98%	1020	1000	20	2.04	3	0.204	1	2%
3	4	96%	1040	998	42	4.16	5	0.416	1	4%
4	5	94%	1060	996	64	6.36	7	0.636	1	6%
5	6	92%	1080	994	86	8.64	9	0.864	1	8%
6	7	90%	1100	990	110	11	11	1.1	2	10%
7	8	88%	1120	986	134	13.44	14	1.344	2	12%
8	9	86%	1140	980	160	15.96	16	1.596	2	14%
9	10	84%	1160	974	186	18.56	19	1.856	2	16%
10	11	82%	1180	968	212	21.24	22	2.124	3	18%
11	12	80%	1200	960	240	24	24	2.4	3	20%
12	13	78%	1220	952	268	26.84	27	2.684	3	22%
13	14	76%	1240	942	298	29.76	30	2.976	3	24%
14	15	74%	1260	932	328	32.76	33	3.276	4	26%
15	16	72%	1280	922	358	35.84	36	3.584	4	28%
16	17	70%	1300	910	390	39	39	3.9	4	30%
17	18	68%	1320	898	422	42.24	43	4.224	5	32%
18	19	66%	1340	884	456	45.56	46	4.556	5	34%
19	20	64%	1360	870	490	48.96	49	4.896	5	36%
20	21	62%	1380	856	524	52.44	53	5.244	6	38%
21	22	60%	1400	840	560	56	56	5.6	6	40%
22	23	58%	1420	824	596	59.64	60	5.964	6	42%
23	24	56%	1440	806	634	63.36	64	6.336	7	44%
24	25	54%	1460	788	672	67.16	68	6.716	7	46%
25	26	52%	1480	770	710	71.04	72	7.104	8	48%
26	27	50%	1500	750	750	75	75	7.5	8	50%
27	28	48%	1520	730	790	79.04	80	7.904	8	52%
28	29	46%	1540	708	832	83.16	84	8.316	9	54%
29	30	44%	1560	686	874	87.36	88	8.736	9	56%
30	31	42%	1580	664	916	91.64	92	9.164	10	58%
31	32	40%	1600	640	960	96	97	9.6	10	60%
32	33	38%	1620	616	1,004	100.44	101	10.044	11	62%
33	34	36%	1640	590	1,050	104.96	105	10.496	11	64%
34	35	34%	1660	564	1,096	109.56	110	10.956	11	66%
35	36	32%	1680	538	1,142	114.24	115	11.424	12	68%
36	37	30%	1700	510	1,190	119	119	11.9	12	70%
37	38	28%	1720	482	1,238	123.84	124	12.384	13	72%
38	39	26%	1740	452	1,288	128.76	129	12.876	13	74%
39	40	24%	1760	422	1,338	133.76	134	13.376	14	76%
40	41	22%	1780	392	1,388	138.84	139	13.884	14	78%
41	42	20%	1800	360	1,440	144	144	14.4	15	80%
42	43	18%	1820	328	1,492	149.24	150	14.924	15	82%
43	44	16%	1840	294	1,546	154.56	155	15.456	16	84%
44	45	14%	1860	260	1,600	159.96	160	15.996	16	86%
45	46	12%	1880	226	1,654	165.44	166	16.544	17	88%
46	47	10%	1900	190	1,710	171	171	17.1	18	90%
47	48	8%	1920	154	1,766	176.64	177	17.664	18	92%
48	49	6%	1940	116	1,824	182.36	183	18.236	19	94%
49	50	4%	1960	78	1,882	188.16	189	18.816	19	96%
